1570681869,3,13,3,"CQ,CA,C6,C2;S9,SK,SQ,S7;C9,CK,DA,C8;DK,D10,D4,DQ;D7,D3,D8,D2;DJ,C5,C3,C4;S10,SA,D6,D5;SJ,S2,S8,S3;H10,H6,HA,H3;H4,H8,H2,HJ;HQ,H7,CJ,HK;H9,S4,C10,S6;H5,S5,C7,D9"
1570681869,3,0,3,"CQ,C10,CJ,C2;SK,S6,SJ,S9;C9,CA,C8,C7;SA,SQ,DQ,S2;D10,D9,DK,DA;D3,D7,DJ,D8;C6,S10,C5,C3;D2,D6,D5,D4;H6,HA,H10,H2;H8,HK,CK,H3;S5,H5,S8,H4;S7,HJ,C4,H7;S4,H9,S3,HQ"
1570681869,3,15,3,"C10,CA,CK,C2;S10,SA,SQ,S7;C9,CQ,C4,C6;DK,DA,D10,D9;D8,C7,DQ,C3;DJ,C5,D7,C8;D6,SJ,S6,CJ;S4,S5,S3,SK;H9,HJ,HA,H2;H3,H7,H5,H10;HK,H6,S8,S2;D5,H8,D3,H4;D2,S9,D4,HQ"
1570681869,3,13,3,"C8,C10,CA,C2;C3,C7,SK,CQ;DK,DA,D9,D10;SJ,D8,SQ,S3;D5,D6,D7,D3;C4,SA,S8,C5;C9,DQ,S7,C6;DJ,D4,HA,D2;HQ,HK,H10,H7;H3,S9,HJ,H5;H6,CK,S6,H2;CJ,S5,H4,H8;S10,S4,S2,H9"
1570681869,3,14,3,"CA,CQ,C10,C2;C5,C3,CK,C7;SA,S8,SK,S2;D10,DJ,DA,DQ;S6,S3,S5,S9;S7,CJ,S4,SJ;SQ,D9,D6,D3;D2,D5,S10,D4;C6,C8,HA,C4;HK,H8,HQ,H5;H7,H4,H6,H9;DK,H3,C9,H10;D7,H2,D8,HJ"
1570681869,3,0,3,"CA,CQ,CK,C2;S10,SK,S9,S4;C8,CJ,C3,C10;S7,SQ,S5,SJ;DK,D4,DJ,DA;D2,D3,D9,D7;S8,D5,SA,D8;H10,H3,HQ,H2;H6,H8,DQ,H5;D10,H9,H7,H4;HA,C4,D6,C5;HK,C6,S3,C7;HJ,S6,S2,C9"
1570681869,3,14,3,"CQ,CA,C8,C2;S9,S10,SK,S7;C4,C6,C3,CJ;D9,DA,D10,DK;S4,SQ,SA,S5;DQ,D2,D6,D3;CK,S3,D5,D4;DJ,C10,S2,D7;C9,HA,SJ,S6;HQ,H9,HK,H2;H7,H10,H3,H4;C7,H8,H6,H5;D8,S8,C5,HJ"
1570681869,3,4,3,"C9,CK,CA,C2;DA,DK,D5,D10;SK,SA,SQ,SJ;C3,CQ,C5,C6;DJ,D4,D8,DQ;D7,D2,C10,D6;S8,S3,CJ,S2;C8,HA,D9,D3;HQ,HJ,HK,H7;S10,H8,H10,H2;H3,S9,S5,H4;H5,S7,C4,H6;H9,S6,S4,C7"
1570681869,3,9,3,"C5,CA,CK,C2;SQ,S7,SA,S3;CJ,C9,CQ,C3;DA,DQ,D4,DJ;D10,C8,D9,D3;S4,C6,DK,C4;D5,SK,S2,D2;S8,HA,C10,S5;H10,HK,HQ,H4;SJ,HJ,H9,H5;H7,H6,D8,H8;H3,C7,S6,S9;H2,D6,D7,S10"
1570681869,3,17,3,"CA,CQ,C9,C2;SK,SA,S10,S3;S4,SJ,SQ,S2;C8,C7,CK,CJ;D5,DA,DK,DQ;D8,DJ,D2,D10;S9,D7,D6,D3;C6,C10,S5,S7;C3,D4,S6,S8;H9,HK,C5,D9;H8,H10,HJ,H2;HQ,H6,H5,H7;H3,H4,C4,HA"
1570681869,3,0,3,"CA,C6,CJ,C2;C5,C4,C10,CK;DJ,D10,DA,DK;SK,S8,S10,SJ;D3,D7,D8,DQ;S3,S7,SA,S2;D9,S6,D2,D5;S5,C3,C7,C8;S4,D6,C9,S9;HA,D4,HQ,SQ;HK,H8,H9,H5;H6,H7,HJ,H3;H10,H4,H2,CQ"
1570681869,3,22,3,"C6,CK,CA,C2;S10,SQ,SA,S4;D10,DQ,DK,DA;D4,D9,D7,DJ;CQ,CJ,C5,C3;S6,S9,S8,S7;C10,SJ,S3,S2;C8,S5,C4,C7;D2,D5,SK,D3;HK,D8,H8,C9;HQ,H10,H7,H2;H3,H5,HA,H6;H9,D6,H4,HJ"
